# x,gp_mu,gp_std
2.458325401099999901e+06,1.000000000000059064e+00,3.599000243839443604e-05
2.458325402499999851e+06,1.000000000000037303e+00,3.599000243839443604e-05
2.458325403899999801e+06,1.000000000000023537e+00,3.599000243839443604e-05
2.458325405300000217e+06,1.000000000000014655e+00,3.599000243839443604e-05
2.458325406700000167e+06,1.000000000000009326e+00,3.599000243839443604e-05
2.458325408100000117e+06,1.000000000000005773e+00,3.599000243839443604e-05
2.458325409500000067e+06,1.000000000000003775e+00,3.599000243839443604e-05
2.458325410900000017e+06,1.000000000000002220e+00,3.599000243839443604e-05
2.458325412299999967e+06,1.000000000000001554e+00,3.599000243839443604e-05
2.458325413600000087e+06,1.000000000000000888e+00,3.599000243839443604e-05
2.458325415000000037e+06,1.000000000000000666e+00,3.599000243839443604e-05
2.458325416399999987e+06,1.000000000000000444e+00,3.599000243839443604e-05
2.458325417799999937e+06,1.000000000000000222e+00,3.599000243839443604e-05
2.458325419199999887e+06,1.000000000000000222e+00,3.599000243839443604e-05
2.458325420599999838e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325421999999788e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325423400000203e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325424800000153e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325426099999808e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325427500000224e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325428900000174e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325430300000124e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325431700000074e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325433100000024e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325434499999974e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325435899999924e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325437299999874e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325438599999994e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325439999999944e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325441399999894e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325442799999844e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325444199999794e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325445600000210e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325447000000160e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325448400000110e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325449800000060e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325451100000180e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325452500000130e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325453900000080e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325455300000031e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325456699999981e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325458099999931e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325459499999881e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325460899999831e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325462299999781e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325463599999901e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325464999999851e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325466399999801e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325467800000217e+06,1.000000000000000000e+00,3.599000243839443604e-05
