#SpT,Teff,logT,BCv,Mv,logL,B-V,Bt-Vt,G-V,U-B,V-Rc,V-Ic,V-Ks,J-H,H-Ks,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT
G0V,5920,3.772,-0.09,4.45,0.14,0.596,0.65,-0.124,0.058,0.336,0.664,1.44,0.262,0.067,0.027,-0.043,-0.043,-0.01,1.08,9.7,,3.34,3.01,4.4,,,1.12,G0V
G1V,5880,3.769,-0.1,4.5,0.13,0.604,0.661,-0.133,0.067,0.34,0.672,1.458,0.267,0.068,0.027,-0.044,-0.042,-0.01,1.07,9.8,,3.38,3.04,4.4,,,1.12,G1V
G2V,5770,3.761,-0.11,4.79,0.01,0.65,0.724,-0.141,0.133,0.363,0.713,1.564,0.293,0.073,0.028,-0.05,-0.04,-0.016,1.02,9.8,,3.57,3.2,4.68,,,1.01,G2V
G3V,5720,3.757,-0.12,4.86,-0.01,0.661,0.739,-0.144,0.152,0.368,0.722,1.59,0.299,0.074,0.028,-0.05,-0.04,-0.014,1,,,3.64,3.27,4.74,,,1.01,G3V
G4V,5680,3.754,-0.13,4.94,-0.04,0.674,0.757,-0.148,0.175,0.374,0.733,1.621,0.307,0.075,0.028,-0.052,-0.041,-0.014,0.99,,,3.7,3.32,4.8,,,0.986,G4V
G5V,5660,3.753,-0.13,4.98,-0.05,0.68,0.764,-0.15,0.185,0.377,0.738,1.635,0.31,0.076,0.028,-0.052,-0.041,-0.014,0.98,,,3.74,3.35,4.84,,,0.982,G5V
G6V,5590,3.747,-0.15,5.13,-0.11,0.704,0.796,-0.158,0.227,0.388,0.758,1.691,0.324,0.079,0.028,-0.053,-0.04,-0.012,0.97,,,3.84,3.44,4.98,,,0.939,G6V
G7V,5530,3.743,-0.16,5.18,-0.12,0.713,0.809,-0.161,0.243,0.393,0.766,1.712,0.329,0.08,0.028,-0.054,-0.04,-0.013,0.96,,,3.88,3.47,5.02,,,0.949,G7V
G8V,5490,3.734,-0.17,5.32,-0.17,0.737,0.842,-0.169,0.284,0.404,0.786,1.768,0.342,0.082,0.028,-0.057,-0.039,-0.018,0.94,,,3.97,3.55,5.15,,,0.909,G8V
G9V,5340,3.728,-0.21,5.55,-0.25,0.777,0.894,-0.182,0.358,0.423,0.82,1.861,0.365,0.087,0.029,-0.06,-0.038,-0.018,0.9,,,4.14,3.69,5.34,,,0.876,G9V
K0V,5280,3.723,-0.22,5.76,-0.33,0.816,0.944,-0.23,0.436,0.443,0.853,1.953,0.387,0.091,0.03,-0.063,-0.037,-0.015,0.87,,,4.29,3.81,5.54,,,0.817,K0V
K0.5V,5240,3.719,-0.23,5.8,-0.33,0.828,0.955,-0.24,0.456,0.448,0.862,1.977,0.393,0.092,0.03,-0.064,-0.038,-0.018,0.86,,,4.31,3.82,5.57,,,0.828,K0.5V
K1V,5170,3.713,-0.26,5.89,-0.36,0.847,0.976,-0.26,0.491,0.457,0.879,2.021,0.402,0.094,0.03,-0.064,-0.038,-0.013,0.85,,,4.37,3.87,5.65,,,0.814,K1V
K1.5V,5140,3.711,-0.27,5.97,-0.39,0.859,0.999,-0.28,0.528,0.467,0.895,2.066,0.412,0.096,0.03,-0.063,-0.037,-0.016,0.82,,,4.41,3.9,5.7,,,0.809,K1.5V
K2V,5040,3.702,-0.29,6.19,-0.47,0.884,1.035,-0.3,0.581,0.482,0.92,2.132,0.427,0.098,0.031,-0.068,-0.037,-0.009,0.78,,,4.57,4.04,5.88,,,0.763,K2V
K2.5V,4990,3.698,-0.32,6.34,-0.51,0.938,1.101,-0.3,0.691,0.513,0.974,2.274,0.459,0.104,0.032,-0.071,-0.032,-0.006,0.76,,,4.63,4.07,6.02,,,0.742,K2.5V
K3V,4830,3.684,-0.41,6.57,-0.58,0.98,1.15,-0.31,0.776,0.537,1.013,2.38,0.483,0.109,0.033,-0.071,-0.031,-0.008,0.75,,,4.76,4.16,6.16,,,0.729,K3V
K3.5V,4700,3.672,-0.45,6.79,-0.64,1.05,1.239,-0.37,0.917,0.592,1.108,2.582,0.52,0.118,0.036,-0.074,-0.031,-0.005,0.73,,,4.85,4.21,6.34,,,0.72,K3.5V
K4V,4600,3.663,-0.56,6.98,-0.67,1.1,1.306,-0.43,1.004,0.64,1.19,2.733,0.544,0.125,0.039,-0.073,-0.031,0.009,0.72,,,4.92,4.25,6.42,,,0.726,K4V
K4.5V,4540,3.657,-0.6,7.04,-0.68,1.116,1.328,-0.42,1.028,0.654,1.216,2.781,0.552,0.127,0.04,-0.073,-0.03,0.017,0.71,,,4.94,4.26,6.44,,,0.737,K4.5V
K5V,4410,3.644,-0.68,7.36,-0.78,1.15,1.373,-0.41,1.081,0.685,1.272,2.883,0.568,0.132,0.042,-0.073,-0.029,0.019,0.68,,,5.18,4.48,6.68,,,0.698,K5V
K5.5V,4330,3.636,-0.75,7.6,-0.84,1.2,1.414,-0.44,1.144,0.728,1.357,3.034,0.591,0.139,0.045,,,,0.66,,,5.3,4.57,6.85,,,0.672,K5.5V
K6V,4230,3.626,-0.81,7.8,-0.9,1.24,1.439,-0.48,1.184,0.759,1.42,3.143,0.601,0.148,0.049,,,,0.65,,,5.41,4.66,6.99,,,0.661,K6V
K6.5V,4190,3.622,-0.92,8.01,-0.96,1.31,1.491,-0.52,1.213,0.796,1.505,3.288,0.613,0.159,0.055,,,,0.64,,,5.56,4.78,7.09,,,0.656,K6.5V
K7V,4070,3.61,-0.95,8.15,-0.98,1.33,1.506,-0.57,1.221,0.806,1.529,3.33,0.617,0.162,0.057,,,,0.63,,,5.6,4.82,7.18,,,0.654,K7V
K8V,4000,3.602,-1.03,8.47,-1.1,1.356,1.562,-0.63,1.216,0.843,1.632,3.487,0.623,0.176,0.081,,,,0.59,,,5.78,4.98,7.44,,,0.587,K8V
K9V,3940,3.595,-1.1,8.69,-1.18,1.382,1.593,-0.69,1.21,0.866,1.699,3.584,0.625,0.184,0.101,,,,0.56,,,5.92,5.11,7.59,,,0.552,K9V
M0V,3870,3.588,-1.16,8.91,-1.2,1.408,1.623,-0.65,1.204,0.889,1.766,3.68,0.626,0.193,0.122,,,,0.55,,,6.04,5.22,7.75,0.33,,0.559,M0V
M0.5V,3800,3.58,-1.38,9.2,-1.27,1.441,,-0.74,1.184,0.924,1.886,3.84,0.62,0.208,0.13,,,,0.54,,,6.19,5.36,7.9,0.37,,0.535,M0.5V
M1V,3700,3.568,-1.44,9.69,-1.4,1.475,,-0.82,1.172,0.959,2.019,4.02,0.613,0.225,0.137,,,,0.49,,,6.51,5.67,8.25,0.41,,0.496,M1V
M1.5V,3650,3.562,-1.57,9.97,-1.47,1.486,,-0.85,1.17,0.978,2.089,4.12,0.607,0.228,0.105,,,,0.47,,,6.69,5.85,8.4,0.47,,0.46,M1.5V
M2V,3550,3.55,-1.65,10.3,-1.57,1.5,,-0.92,1.17,1.001,2.173,4.24,0.6,0.234,0.11,,,,0.44,,,6.89,6.06,8.65,0.53,,0.434,M2V
M2.5V,3500,3.544,-1.76,10.7,-1.68,1.522,,-1.02,1.175,1.041,2.306,4.43,0.589,0.244,0.117,,,,0.4,,,7.01,6.27,8.94,0.57,,0.393,M2.5V
M3V,3410,3.533,-1.97,11.14,-1.78,1.544,,-1.09,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.36,,,7.4,6.54,9.17,0.61,,0.369,M3V
M3.5V,3250,3.512,-2.27,12.19,-2.07,1.602,,-1.29,1.2,1.178,2.68,5,0.558,0.269,0.132,,,,0.26,,,8.02,7.19,9.92,0.66,,0.291,M3.5V
M4V,3200,3.505,-2.59,12.8,-2.2,1.661,,-1.41,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V
M4.5V,3100,3.491,-3.05,13.57,-2.31,1.72,,-1.55,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V
M5V,3030,3.481,-3.28,14.3,-2.52,1.874,,-1.74,1.24,1.446,3.277,5.94,0.58,0.311,,0.17,,,0.16,,,9.25,8.36,11.02,0.91,0.47,0.199,M5V
M5.5V,3000,3.477,-3.8,15.51,-2.79,1.91,,-2.01,1.3,1.656,3.664,6.5,0.588,0.329,,0.19,,,0.12,,,9.93,9.01,11.71,1.13,0.52,0.149,M5.5V
M6V,2850,3.455,-4.36,16.62,-3.02,2,,-2.14,1.3,1.95,4.13,7.3,0.605,0.352,,0.21,,,0.1,,,10.28,9.32,12.26,1.45,0.6,0.127,M6V
M6.5V,2710,3.433,-4.6,17.07,-3.09,2.06,,-2.75,,2.003,4.31,7.6,0.609,0.364,,0.22,,,0.097,,,10.47,9.47,12.47,1.58,0.64,0.129,M6.5V
M7V,2650,3.423,-5.06,17.81,-3.21,2.06,,-2.98,,2.18,4.45,8.05,0.613,0.386,,0.24,,,0.09,,,10.76,9.76,12.75,1.77,0.7,0.118,M7V
M7.5V,2600,3.415,-5.46,18.42,-3.29,2.17,,-3.09,,2.16,4.56,8.45,0.65,0.422,,0.25,,,0.089,,,10.68,9.97,12.97,1.85,0.74,0.112,M7.5V
M8V,2500,3.398,-5.7,18.84,-3.36,2.2,,-3.11,,2.15,4.64,8.73,0.67,0.45,,0.26,,,0.082,,,11.23,10.11,13.14,1.93,0.77,0.111,M8V
M8.5V,2440,3.387,-5.8,19.14,-3.44,,,-3.09,,1.967,4.71,8.92,0.685,0.47,,0.265,,,0.081,,,11.45,10.22,13.34,1.96,0.8,0.107,M8.5V
M9V,2400,3.38,-5.9,19.36,-3.57,,,-3.07,,1.89,4.75,9,0.749,0.48,,0.27,,,0.079,,,11.53,10.3,13.67,1.99,0.82,0.095,M9V
M9.5V,2320,3.365,-6.13,19.75,-3.55,,,-3.1,,2.51,4.79,9.3,0.826,0.505,,0.27,,,0.078,,,11.78,10.45,13.62,2,0.84,0.104,M9.5V
L0V,2250,3.352,,20,-3.57,,,-3.2,,,4.82,9.45,0.79,0.5,,0.27,,,0.077,,,11.84,10.55,13.67,2.01,0.86,0.108,L0V
L1V,2100,3.322,,20.5,-3.7,,,,,,4.91,9.7,0.8,0.54,,0.28,,,0.076,,,12.14,10.8,13.99,2.02,0.88,0.107,L1V
L2V,1960,3.292,,20.9,-3.84,,,,,,5.05,10,0.87,0.57,,0.28,,,0.075,,,12.34,10.9,14.34,2.04,0.9,0.104,L2V
L3V,1830,3.262,,21.7,-3.98,,,,,,5.29,10.4,1,0.63,,0.29,,,,,,12.93,11.3,14.96,2.1,0.92,0.102,L3V
L4V,1700,3.23,,22.3,-4.11,,,,,,5.57,10.9,1.14,0.63,,0.3,,,,,,13.17,11.4,15.02,2.2,0.94,0.102,L4V
L5V,1590,3.201,,23.1,-4.24,,,,,,6.28,11.4,1.13,0.65,,0.32,,,,,,13.6,11.82,15.34,2.33,0.97,0.1,L5V
L6V,1490,3.173,,,-4.36,,,,,,,,1.08,0.64,,0.36,,,,,,13.99,12.27,15.64,2.51,1,0.099,L6V
L7V,1410,3.149,,,-4.46,,,,,,,,1.1,0.62,,0.41,,,,,,14.34,12.62,15.89,2.71,1.04,0.099,L7V
L8V,1350,3.13,,,-4.55,,,,,,,,1.14,0.63,,0.48,,,,,,14.47,12.7,16.12,2.93,1.09,0.097,L8V
L9V,1300,3.114,,,-4.61,,,,,,,,1.1,0.63,,0.57,,,,,,14.47,12.74,16.27,3.15,1.16,0.098,L9V
T0V,1260,3.1,,,-4.66,,,,,,,,1.02,0.54,,0.68,,,,,,14.46,12.9,16.39,3.36,1.23,0.098,T0V
T1V,1230,3.09,,,-4.69,,,,,,,,1.02,0.45,,0.82,,,,,,14.34,12.87,16.47,3.55,1.33,0.1,T1V
T2V,1200,3.079,,,-4.73,,,,,,,,0.86,0.27,,0.99,,,,,,14.32,13.19,16.57,3.7,1.43,0.1,T2V
T3V,1160,3.064,,,-4.77,,,,,,,,0.68,0.08,,1.19,,,,,,14.45,13.69,16.67,3.82,1.55,0.102,T3V
T4V,1120,3.049,,,-4.84,,,,,,,,0.35,-0.19,,1.43,,,,,,14.67,14.51,16.84,3.9,1.68,0.101,T4V
T4.5V,1090,3.037,,,-4.9,,,,,,,,0.2,-0.06,,1.57,,,,,,14.8,14.66,16.99,3.93,1.75,0.099,T4.5V
T5V,1050,3.021,,,-4.95,,,,,,,,0.2,-0.08,,1.7,,,,,,15.02,14.9,17.12,3.95,1.81,0.101,T5V
T5.5V,1010,3.004,,,-5.04,,,,,,,,0.2,-0.1,,1.86,,,,,,15.28,15.18,17.34,3.97,1.89,0.099,T5.5V
T6V,960,2.982,,,-5.12,,,,,,,,0.1,-0.03,,2.02,,,,,,15.61,15.54,17.54,3.98,1.96,0.1,T6V
T7V,840,2.924,,,-5.37,,,,,,,,0,0,,2.38,,,,,,15.77,16.36,18.17,4.01,2.11,0.098,T7V
T7.5V,770,2.886,,,-5.54,,,,,,,,0.2,-0.05,,2.59,,,,,,16.51,16.85,18.59,4.05,2.19,0.095,T7.5V
T8V,700,2.845,,,-5.71,,,,,,,,0.2,-0.05,,2.79,,,,,,17.24,17.43,19.02,4.08,2.26,0.095,T8V
T8.5V,610,2.785,,,-5.93,,,,,,,,0.2,,,,,,,,,18.45,,19.57,,,0.097,T8.5V
T9V,530,2.724,,,-6.15,,,,,,,,0.1,-0.2,,,,,,,,19.67,18.48,20.12,,,0.1,T9V
T9.5V,475,2.677,,,,,,,,,,,,,,,,,,,,19.52:,19.32,,,,,T9.5V
Y0V,420,2.623,,,-6.52,,,,,,,,,-0.5,,2.4,,,,,,21,,,,,0.104,Y0V
Y0.5V,390,2.591,,,,,,,,,,,,-0.6,,2.5,,,,,,22,21.5,,,,,Y0.5V
Y1V,350,2.544,,,,,,,,,,,,,,2.6,,,,,,23,23,,,,,Y1V
Y1.5V,325,2.512,,,,,,,,,,,,-0.8,,,,,,,,25,23.5,,,,,Y1.5V
Y2V,250,2.398,,,,,,,,,,,,,,3.4,,,,,,28.3,24,26.2,,,,Y2V
