# bintime,binflux,binflux_err
-1.633317202494443676e-01,1.000166453917821219e+00,1.332628329349406235e-04
-1.624326848737972506e-01,1.000081788409840078e+00,1.070438077854674069e-04
-1.614589356492089067e-01,1.000235638835213381e+00,9.891401818692946955e-05
-1.604931153233218333e-01,1.000129966065287590e+00,9.699130161272220439e-05
-1.595830234836281558e-01,9.999841619282960892e-01,1.139994370656420780e-04
-1.586441480534431514e-01,1.000182962045073509e+00,9.221211398825528095e-05
-1.577007382693436377e-01,1.000093684051976073e+00,8.275612583666527118e-05
-1.567758975895860440e-01,1.000073174014687538e+00,9.693817868351286356e-05
-1.557944362133805716e-01,1.000003027193474114e+00,1.109119573320751812e-04
-1.548512911297149075e-01,1.000118106603622437e+00,1.109925370849189623e-04
-1.539402573671267982e-01,9.999676626175642014e-01,8.876406056078139841e-05
-1.529734379825601898e-01,1.000123074560454350e+00,8.463619811433675160e-05
-1.520126317421479079e-01,1.000088314856252270e+00,1.141905080574549824e-04
-1.511299886171622309e-01,1.000064144531885857e+00,8.630894878378572309e-05
-1.501557174024353014e-01,1.000167454992021865e+00,1.133213185918891387e-04
-1.491919510386983116e-01,1.000114538977223022e+00,8.781278333729893547e-05
-1.483086993995907932e-01,9.999626259649952997e-01,6.154296586886791949e-05
-1.473651843405814343e-01,1.000104493954602436e+00,8.833744901286849009e-05
-1.463867676311483013e-01,1.000133937055414313e+00,1.076448683143690438e-04
-1.454847496985994804e-01,1.000007508198420103e+00,1.123048954432783104e-04
-1.445595509856130445e-01,9.999701328137341472e-01,1.101576098958590588e-04
-1.435948529817757113e-01,1.000200878828763962e+00,1.177089785278366725e-04
-1.426457216997442101e-01,1.000152991098516075e+00,1.050822887882729527e-04
-1.416833117361871730e-01,1.000008861223856682e+00,9.924807857897639709e-05
-1.407167408880961035e-01,1.000083979332085704e+00,1.086139839245721194e-04
-1.397957027605000457e-01,1.000149930677106225e+00,9.814819645916512134e-05
-1.388636843179973934e-01,1.000022164162467586e+00,1.085767614067071322e-04
-1.378931929798928313e-01,1.000231042504310608e+00,8.766734623142798089e-05
-1.369739019205238051e-01,9.999680444598197937e-01,9.548253225112761692e-05
-1.360437699426832459e-01,9.998543876590151314e-01,1.017068571611744280e-04
-1.350700372420151341e-01,1.000019841121904784e+00,9.827199818301261337e-05
-1.341470146103034278e-01,1.000149288347789156e+00,1.211732997625950632e-04
-1.332659895082843327e-01,1.000088729641654295e+00,8.465961312423172765e-05
-1.322828510292513582e-01,9.999072078396292751e-01,1.006402061836427219e-04
-1.313263980227810657e-01,1.000023402273654938e+00,1.108063113395214475e-04
-1.304163210551447238e-01,9.999516904354095459e-01,1.009615255201601959e-04
-1.294863902507881193e-01,9.999714013068906615e-01,1.019832680469761515e-04
-1.285198543557930229e-01,9.998154658259768013e-01,8.913618864685195946e-05
-1.275660718180764153e-01,1.000050806637966305e+00,1.055486290504708516e-04
-1.266045207472368261e-01,9.999173395335674286e-01,9.536606242062838025e-05
-1.256322741584128821e-01,9.998543374240398407e-01,7.853183222822230085e-05
-1.247337931071714201e-01,9.999103484482601001e-01,1.039404383300502054e-04
-1.237942455431048222e-01,1.000021413394382996e+00,9.526725077101396116e-05
-1.228245526185126058e-01,9.999896148840586863e-01,1.073601543467359016e-04
-1.219503719854319740e-01,9.999685018293319461e-01,7.123166544817770437e-05
-1.209898936922598756e-01,1.000000683700337234e+00,9.175604615577995660e-05
-1.199978271309963818e-01,9.999810421105587155e-01,9.721629694961604563e-05
-1.191122682860648735e-01,9.999483700456290869e-01,8.877707607092095922e-05
-1.181984772015574614e-01,9.999094552853527995e-01,1.031746860087782649e-04
-1.172082879083858054e-01,9.998928233981132507e-01,9.500428745913886319e-05
-1.162732011375332414e-01,9.999993539625599004e-01,1.124760306319608742e-04
-1.153667016193893891e-01,9.998247697949409485e-01,9.872181539162373331e-05
-1.144014962517974077e-01,1.000020021742040521e+00,1.110565406219119719e-04
-1.134373575023401026e-01,9.997813069459163815e-01,1.121899822856871901e-04
-1.124617944300625449e-01,9.998460213343302039e-01,8.683622978362622903e-05
-1.115183133922785785e-01,9.998099669333426753e-01,8.710216055212155874e-05
-1.106144195370136890e-01,9.999279715120792389e-01,1.016563554429427422e-04
-1.096828875608557435e-01,9.999022664445819109e-01,1.065581121698473498e-04
-1.087238224287674915e-01,1.000044701620936394e+00,1.035699278701542156e-04
-1.077918577753429474e-01,1.000015187648034765e+00,1.084724478764395090e-04
-1.068702997087552370e-01,9.998477306216955185e-01,1.162842251299674298e-04
-1.058908255422660316e-01,9.998230627088835476e-01,8.455843401636466269e-05
-1.049489347427709079e-01,1.000010538101196333e+00,9.493735236584729129e-05
-1.040568059735208079e-01,1.000018265098333359e+00,1.126173273824973960e-04
-1.031026638990016897e-01,9.998426834742227820e-01,9.066385595473127018e-05
-1.021545530789184225e-01,9.997803222748541385e-01,9.833417221893209215e-05
-1.012341207667313836e-01,9.999351501464843750e-01,9.104548721307583934e-05
-1.002746142084495334e-01,9.998623449355363846e-01,1.172498675754194661e-04
-9.931069501290024082e-02,9.999619776552374217e-01,8.671517062056755952e-05
-9.836746964976246510e-02,9.999461215117881885e-01,1.020046971204335308e-04
-9.743212673891486764e-02,9.998287016695196483e-01,1.353600355472436205e-04
-9.647561454772669853e-02,9.998261729876199988e-01,1.184866244137596744e-04
-9.556145572333692162e-02,9.999206835223782841e-01,8.511724096725709879e-05
-9.460548985586701709e-02,9.999541531909595937e-01,1.166698600751512666e-04
-9.365195054289261745e-02,9.997577406466007233e-01,1.044580159842678865e-04
-9.276962249974736452e-02,9.998804112275441192e-01,8.293407292494126178e-05
-9.183567945029873225e-02,9.997337045091571062e-01,8.930562746328532249e-05
-9.083110434791130672e-02,9.998418417843905059e-01,9.504002525139744733e-05
-8.991647726289293818e-02,9.999165925486334094e-01,1.023913157420362248e-04
-8.899404072674398092e-02,9.998557097984083208e-01,9.154698650457227969e-05
-8.802862145915868464e-02,9.998272138257180419e-01,1.046877141753747452e-04
-8.709830931119613706e-02,9.998787529766559601e-01,9.260751817863235695e-05
-8.615663361222868077e-02,9.998984672129154205e-01,1.165903927931065192e-04
-8.518906652324789719e-02,9.999579082835804433e-01,9.949764506927665365e-05
-8.424003405592780935e-02,9.999689344436891725e-01,8.262135433543593211e-05
-8.329399824111255457e-02,9.999049396225900832e-01,9.027933700091487958e-05
-8.235157981659413373e-02,9.997438596140953981e-01,1.308528065579478579e-04
-8.144769274862420638e-02,9.998951721936464310e-01,7.965081545614465116e-05
-8.050624960118038520e-02,9.997814189304005117e-01,1.145743082323237837e-04
-7.951802228202253797e-02,9.997889688520720242e-01,9.808773635491853924e-05
-7.860927479437500309e-02,9.998532652854918990e-01,1.046203483494879927e-04
-7.771038175162811590e-02,9.997920249447678209e-01,1.068353300170604486e-04
-7.672723524969109199e-02,9.998599396032445963e-01,1.169871305893157789e-04
-7.576560693939433933e-02,9.997828122108213256e-01,8.929959959011568951e-05
-7.486442150179525856e-02,9.998716635088766846e-01,1.169921877090133793e-04
-7.392180099066358867e-02,9.998652692884206772e-01,1.221332980528729278e-04
-7.297833436678316521e-02,9.998947038795008568e-01,9.247920668475182620e-05
-7.202437954409941778e-02,1.000023223021451191e+00,8.815440319018563481e-05
-7.105702629999585684e-02,9.998149201273918152e-01,9.775117564691833546e-05
-7.011506998218905440e-02,1.000001506371931637e+00,1.162986479077650402e-04
