#BJD_TDB,flux,flux_err
2.458411027738e+06,1.003125906e+00,2.152580023e-02
2.458411029127e+06,1.005441785e+00,2.153513767e-02
2.458411030516e+06,9.945970774e-01,2.153048106e-02
2.458411031905e+06,1.012065649e+00,2.156840265e-02
2.458411033294e+06,1.029848933e+00,2.157340758e-02
2.458411034683e+06,1.002337694e+00,2.155993506e-02
2.458411036072e+06,1.037343979e+00,2.156414650e-02
2.458411037461e+06,9.783087969e-01,2.149899863e-02
2.458411038850e+06,9.814604521e-01,2.155687287e-02
2.458411040239e+06,1.026236653e+00,2.161410637e-02
2.458411041627e+06,1.000592589e+00,2.154782414e-02
2.458411043016e+06,1.027589798e+00,2.157859877e-02
2.458411044405e+06,9.271761775e-01,2.146675251e-02
2.458411045794e+06,9.787363410e-01,2.152111568e-02
2.458411047183e+06,9.994726181e-01,2.156369574e-02
2.458411048572e+06,1.017309785e+00,2.158623375e-02
2.458411051350e+06,1.034592390e+00,2.158928104e-02
2.458411052739e+06,1.019769907e+00,2.157237940e-02
2.458411054128e+06,1.008156776e+00,2.154137380e-02
2.458411055517e+06,9.874874353e-01,2.154337429e-02
2.458411056906e+06,1.018555760e+00,2.153499238e-02
2.458411058295e+06,1.023070812e+00,2.154951729e-02
2.458411059684e+06,1.021310210e+00,2.159233019e-02
2.458411061072e+06,1.027646184e+00,2.159056813e-02
2.458411062461e+06,1.006178975e+00,2.153418399e-02
2.458411063850e+06,9.572725892e-01,2.150383219e-02
2.458411065239e+06,1.026540637e+00,2.160488628e-02
2.458411066628e+06,1.017380476e+00,2.155688405e-02
2.458411068017e+06,1.001913548e+00,2.154892683e-02
2.458411069406e+06,1.019487143e+00,2.157878317e-02
2.458411070795e+06,1.001096487e+00,2.155332826e-02
2.458411072184e+06,9.952715635e-01,2.150784433e-02
2.458411073573e+06,1.013293862e+00,2.156897075e-02
2.458411074962e+06,1.030446887e+00,2.156114578e-02
2.458411076351e+06,9.900550246e-01,2.151698805e-02
2.458411077740e+06,1.007545471e+00,2.154655010e-02
2.458411079129e+06,1.014193535e+00,2.153896540e-02
2.458411080517e+06,1.010707378e+00,2.151027508e-02
2.458411081906e+06,1.023718119e+00,2.157239988e-02
2.458411083295e+06,1.043175817e+00,2.159976400e-02
2.458411084684e+06,1.005717278e+00,2.152506262e-02
2.458411086073e+06,9.827849269e-01,2.153996006e-02
2.458411087462e+06,9.962243438e-01,2.155331150e-02
2.458411088851e+06,9.974863529e-01,2.159523219e-02
2.458411090240e+06,1.035881281e+00,2.157414332e-02
2.458411091629e+06,9.993293881e-01,2.158709988e-02
2.458411093018e+06,9.909633994e-01,2.148700133e-02
2.458411094407e+06,9.841624498e-01,2.151527815e-02
2.458411095796e+06,1.015036464e+00,2.155252919e-02
2.458411097185e+06,1.034761190e+00,2.157698758e-02
2.458411098574e+06,1.018744111e+00,2.158007771e-02
2.458411099962e+06,9.849388599e-01,2.153429016e-02
2.458411101351e+06,9.974150658e-01,2.157639898e-02
2.458411102740e+06,9.840389490e-01,2.154950425e-02
2.458411104129e+06,9.788562655e-01,2.152024209e-02
2.458411105518e+06,1.022731543e+00,2.155981585e-02
2.458411106907e+06,1.033968568e+00,2.156183869e-02
2.458411108296e+06,9.901816845e-01,2.152788825e-02
2.458411109685e+06,1.014450073e+00,2.154249512e-02
2.458411111074e+06,1.010041475e+00,2.155675180e-02
2.458411112463e+06,9.966081977e-01,2.153046802e-02
2.458411113852e+06,9.820920229e-01,2.150900103e-02
2.458411115241e+06,9.822920561e-01,2.152135037e-02
2.458411116630e+06,9.768139124e-01,2.149397135e-02
2.458411118018e+06,9.867968559e-01,2.157256007e-02
2.458411119407e+06,1.046825171e+00,2.162749507e-02
2.458411120796e+06,1.023203731e+00,2.157808095e-02
2.458411122185e+06,9.843097925e-01,2.149880305e-02
2.458411123574e+06,1.016200781e+00,2.156776935e-02
2.458411124963e+06,9.862212539e-01,2.151327394e-02
2.458411126352e+06,1.006218791e+00,2.155790851e-02
2.458411127741e+06,1.017661095e+00,2.159068175e-02
2.458411129130e+06,9.996192455e-01,2.153458260e-02
