# time,flux_clean,flux_err
2.458462445807999931e+06,1.024558016888675427e+00,4.362278803999999899e-02
2.458462447197000030e+06,9.966262747081319207e-01,4.326877743000000220e-02
2.458462448586000130e+06,1.023477593580260692e+00,4.330306872999999807e-02
2.458462449975000229e+06,9.984211751442644278e-01,4.326945170999999674e-02
2.458462451363999862e+06,1.006904369581212766e+00,4.326480626999999746e-02
2.458462452752999961e+06,9.470878377002833748e-01,4.325520246999999679e-02
2.458462454140999820e+06,1.042059518135410201e+00,4.372156784000000296e-02
2.458462455529999919e+06,9.751789558916482692e-01,4.330533743000000019e-02
2.458462456919000018e+06,9.987196450703567097e-01,4.341633990000000332e-02
2.458462458308000118e+06,9.439124091737433053e-01,4.321829230000000244e-02
2.458462459697000217e+06,1.012441008239262974e+00,4.360557347999999972e-02
2.458462461085999850e+06,9.960067532022358616e-01,4.329005256000000024e-02
2.458462462474000175e+06,9.931317005393994757e-01,4.329928383000000019e-02
2.458462463862999808e+06,1.013556698384762367e+00,4.354618117000000344e-02
2.458462465251999907e+06,1.025793629390796324e+00,4.354307800999999978e-02
2.458462466641000006e+06,1.026557129017093839e+00,4.334378987999999711e-02
2.458462468030000106e+06,9.947765414899000236e-01,4.323544353000000062e-02
2.458462469419000205e+06,1.021043750895094693e+00,4.332939907999999729e-02
2.458462470807999838e+06,9.940241656204212850e-01,4.337624832999999874e-02
2.458462472196000163e+06,9.956551125316557282e-01,4.327454417999999914e-02
2.458462473584999796e+06,1.064452991336657384e+00,4.322258383000000120e-02
2.458462474973999895e+06,1.021605100259073806e+00,4.329787194999999700e-02
2.458462476362999994e+06,1.009532763641743047e+00,4.328143224000000067e-02
2.458462477752000093e+06,1.007262729061970452e+00,4.323430731999999832e-02
2.458462479141000193e+06,9.507917007467338033e-01,4.350794107000000022e-02
2.458462480529999826e+06,1.012171588814859691e+00,4.325445368999999984e-02
2.458462481918000150e+06,9.887466620961389285e-01,4.315014184000000308e-02
2.458462483306999784e+06,1.023488015146428731e+00,4.366745427000000290e-02
2.458462484695999883e+06,9.714495006067523919e-01,4.319088533999999868e-02
2.458462486084999982e+06,1.019002850998099285e+00,4.329783469000000190e-02
2.458462487474000081e+06,1.021454473673246932e+00,4.354025423999999950e-02
2.458462488863000181e+06,1.014501431232855522e+00,4.320027678999999871e-02
2.458462490251999814e+06,9.942215003785922489e-01,4.337976127999999820e-02
2.458462491640000138e+06,1.017425602866409928e+00,4.329140112000000318e-02
2.458462493028999772e+06,9.780393258918382848e-01,4.321565851999999847e-02
2.458462494417999871e+06,1.056632647949822923e+00,4.331533610999999812e-02
2.458462495806999970e+06,1.002338384362227997e+00,4.320419952000000008e-02
2.458462497196000069e+06,1.013392576194826145e+00,4.328976199000000163e-02
2.458462498585000169e+06,1.021836481923469320e+00,4.321662709000000102e-02
2.458462499973000027e+06,1.014187767495612791e+00,4.328179732000000252e-02
2.458462501362000126e+06,9.610199433852841810e-01,4.315768182000000175e-02
2.458462502751000226e+06,1.004869983946019785e+00,4.348844662000000277e-02
2.458462504139999859e+06,9.708804114960261078e-01,4.335458203999999899e-02
2.458462505528999958e+06,1.014049058330647179e+00,4.324671625999999824e-02
2.458462506918000057e+06,1.061044380844608170e+00,4.327375814000000015e-02
2.458462508307000156e+06,9.756525093158299189e-01,4.325066879000000197e-02
2.458462509695000015e+06,1.022165770948239683e+00,4.321957380000000098e-02
2.458462511084000114e+06,9.783383745989709945e-01,4.321715607999999931e-02
2.458462512473000214e+06,9.872005698543890873e-01,4.330752417000000021e-02
2.458462513861999847e+06,1.034270319033664620e+00,4.327391088000000219e-02
2.458462515250999946e+06,9.945016452108318417e-01,4.325759410999999860e-02
2.458462516640000045e+06,9.700271756323282091e-01,4.322568699999999875e-02
2.458462518029000144e+06,1.014675021144894718e+00,4.323767498000000153e-02
2.458462519417000003e+06,9.885364396793682173e-01,4.326685144999999760e-02
2.458462520806000102e+06,9.808190022313526546e-01,4.320607333999999800e-02
2.458462522195000201e+06,1.008860050712780954e+00,4.319898039000000245e-02
2.458462523583999835e+06,1.008289017461890591e+00,4.322655498999999901e-02
2.458462524972999934e+06,1.034896989702640990e+00,4.331597686000000086e-02
2.458462526362000033e+06,9.801845533722957082e-01,4.336026310999999828e-02
2.458462527751000132e+06,9.979833732484846287e-01,4.340810328999999967e-02
2.458462529138999991e+06,9.810264435083188017e-01,4.323269426999999665e-02
2.458462530528000090e+06,1.032752022955301996e+00,4.328377544999999910e-02
2.458462531917000189e+06,9.871350680792341237e-01,4.327367618999999888e-02
2.458462533305999823e+06,1.032357621692990168e+00,4.335817321999999724e-02
2.458462534694999922e+06,1.003306689807417218e+00,4.345241561999999697e-02
2.458462536084000021e+06,9.968268248637829343e-01,4.325513914000000265e-02
2.458462537471999880e+06,1.003223857442107958e+00,4.349609464000000342e-02
2.458462538860999979e+06,9.746096356007084571e-01,4.324818402999999756e-02
2.458462540250000078e+06,1.006348026499020554e+00,4.323116317000000319e-02
2.458462541639000177e+06,1.018457975545302041e+00,4.331219196000000299e-02
2.458462543027999811e+06,1.017410967316517256e+00,4.326802119999999946e-02
2.458462544416999910e+06,9.726736480486906089e-01,4.325604066000000164e-02
2.458462545806000009e+06,1.012288072166738218e+00,4.322230442999999700e-02
2.458462547193999868e+06,9.826419528382220880e-01,4.329520090999999793e-02
2.458462548582999967e+06,9.668357104413275449e-01,4.323333501999999939e-02
2.458462549972000066e+06,1.005136289659221083e+00,4.328241943999999730e-02
2.458462551361000165e+06,9.994652554906383601e-01,4.352923855000000175e-02
2.458462552749999799e+06,9.639652564097691556e-01,4.331081360999999852e-02
2.458462554138999898e+06,9.904962768983864851e-01,4.325429349999999895e-02
2.458462555527999997e+06,1.041798188271126691e+00,4.376009106999999981e-02
2.458462556915999856e+06,9.876412719660060402e-01,4.328953102000000080e-02
2.458462558304999955e+06,1.008333940343989710e+00,4.365269095000000321e-02
2.458462559694000054e+06,9.823335963738932808e-01,4.325933753999999798e-02
2.458462561083000153e+06,1.012060254011945881e+00,4.327272624000000345e-02
2.458462562471999787e+06,1.008949470284855821e+00,4.345135762999999957e-02
2.458462563860999886e+06,9.779967418985334726e-01,4.316964000000000218e-02
2.458462565249000210e+06,1.044064142003629847e+00,4.346122220000000341e-02
2.458462566637999844e+06,9.962086933225584584e-01,4.324260726999999693e-02
2.458462568026999943e+06,9.865081098660567482e-01,4.322824626999999947e-02
2.458462569416000042e+06,1.029297429095368921e+00,4.328040405999999951e-02
2.458462570805000141e+06,1.001481565482179814e+00,4.341088608000000237e-02
2.458462572193999775e+06,1.019296152224307583e+00,4.327626153999999947e-02
2.458462573582999874e+06,9.848938192587868290e-01,4.326488078000000070e-02
2.458462574971000198e+06,1.017085417793156532e+00,4.324531927999999970e-02
2.458462576359999832e+06,9.924783253450542020e-01,4.330465197999999738e-02
2.458462577748999931e+06,1.021870109351454392e+00,4.326664284000000110e-02
2.458462579138000030e+06,9.891550261129785637e-01,4.327596352000000202e-02
2.458462580527000129e+06,9.754516554083696445e-01,4.342010244999999768e-02
2.458462581916000228e+06,1.003288407374404612e+00,4.327071085999999872e-02
2.458462583304999862e+06,9.717451646271939580e-01,4.321925341999999920e-02
2.458462584693000186e+06,9.998526784874074425e-01,4.330949858000000124e-02
2.458462586081999820e+06,9.678971068005194356e-01,4.332397878000000119e-02
2.458462587470999919e+06,9.697869065117763476e-01,4.327626153999999947e-02
2.458462588860000018e+06,1.007768863951051808e+00,4.331648721999999813e-02
2.458462590249000117e+06,1.003232655131977014e+00,4.341294616000000023e-02
2.458462591638000216e+06,9.943947051032598905e-01,4.329334572000000103e-02
2.458462593026999850e+06,1.000840321625396934e+00,4.319569095999999803e-02
2.458462594415000174e+06,1.001349026524254171e+00,4.364958405000000236e-02
2.458462595803999808e+06,9.836579511696897926e-01,4.322091863000000062e-02
2.458462597192999907e+06,9.960206071778555659e-01,4.332928731999999977e-02
2.458462598582000006e+06,9.980601777070520209e-01,4.328180103999999806e-02
2.458462599971000105e+06,1.019704332594436380e+00,4.323857277999999804e-02
2.458462601360000204e+06,9.473625290144908062e-01,4.322734475000000048e-02
2.458462602748000063e+06,1.008247733012530345e+00,4.332472010999999928e-02
2.458462604137000162e+06,1.020984977994486398e+00,4.335862771000000004e-02
2.458462605525999796e+06,1.016120089807722282e+00,4.336854814999999835e-02
2.458462606914999895e+06,9.806350544054889262e-01,4.329578206000000290e-02
2.458462608303999994e+06,9.888958836850714196e-01,4.327281563999999664e-02
2.458462609693000093e+06,1.007688085918530652e+00,4.321002959999999810e-02
2.458462611082000192e+06,9.842834782363436563e-01,4.323904589000000104e-02
2.458462612470000051e+06,9.667491281629468913e-01,4.325661808000000330e-02
2.458462613859000150e+06,1.005688285818513439e+00,4.323688522000000006e-02
2.458462615247999784e+06,1.012901778207820458e+00,4.327419027999999945e-02
2.458462616636999883e+06,9.989309022481288602e-01,4.319240525000000303e-02
2.458462618025999982e+06,9.622068458992870665e-01,4.333334416000000217e-02
2.458462619415000081e+06,9.989100715425327515e-01,4.321478680000000183e-02
2.458462620804000180e+06,1.008910496578508953e+00,4.324840753999999871e-02
2.458462622192000039e+06,9.884641073489734975e-01,4.323554783999999929e-02
2.458462623581000138e+06,9.581359387102011960e-01,4.315397143000000019e-02
