# Wavelength (nm), lambda Transmission
1038.3912327817725, 0.16691176470588243
1040.1422940310144, 0.15588235294117647
1043.663908862514, 0.1470588235294117
1045.4214675560945, 0.14044117647058818
1047.1822749718444, 0.13602941176470595
1048.9365849432556, 0.12720588235294106
1050.690894914667, 0.1183823529411765
1053.3321060382916, 0.11176470588235299
1055.9668197175777, 0.10073529411764692
1059.4819371047388, 0.08749999999999991
1063.8872043662827, 0.07867647058823524
1068.2957203499957, 0.07205882352941173
1071.8173351814953, 0.06323529411764706
1077.1062548730833, 0.05441176470588238
1084.1624794247598, 0.045588235294117485
1090.3415489907304, 0.04117647058823515
1095.6304686823182, 0.03235294117647047
1101.8062895261198, 0.025735294117646967
1109.7461665078404, 0.016911764705882293
1115.9219873516417, 0.010294117647058787
1122.9782119033182, 0.0014705882352941124
1129.1572814692888, 0
