#downloaded from https://tess.mit.edu/observations/
Sector,Orbit,Start of Orbit,End of Orbit
43,94,2021-09-29 16:20:00,2021-10-11 09:30:00
44,95,2021-10-12 16:30:00,2021-10-24 05:35:00
44,96,2021-10-25 16:50:00,2021-11-05 22:45:00
45,97,2021-11-07 00:10:00,2021-11-19 11:40:00
45,98,2021-11-20 15:25:00,2021-12-02 03:10:00
46,99,2021-12-03 01:35:00,2021-12-16 03:00:00
46,100,2021-12-17 12:25:00,2021-12-30 06:40:00
47,101,2021-12-31 07:15:00,2022-01-13 11:15:00
47,102,2022-01-14 09:05:00,2022-01-27 10:45:00
48,103,2022-01-28 10:25:00,2022-02-11 03:15:00
48,104,2022-02-12 13:05:00,2022-02-25 11:50:00
49,105,2022-02-26 23:20:00,2022-03-11 22:50:00
49,106,2022-03-12 22:00:00,2022-03-25 19:45:00
50,107,2022-03-26 18:30:00,2022-04-08 21:50:00
50,108,2022-04-09 19:25:00,2022-04-22 00:25:00
51,109,2022-04-23 10:45:00,2022-05-05 04:50:00
51,110,2022-05-06 04:25:00,2022-05-18 01:00:00
52,111,2022-05-19 03:15:00,2022-05-30 19:25:00
