# #BJD_TDB,flux,flux_err
2.458410986197547056e+06,9.992188811302185059e-01,2.432055305689573288e-03
2.458410987586466596e+06,9.988539218902587891e-01,2.428915584459900856e-03
2.458410988975385670e+06,9.982588291168212891e-01,2.429641550406813622e-03
2.458410990364305209e+06,1.005061864852905273e+00,2.432630863040685654e-03
2.458410991753224283e+06,1.003391742706298828e+00,2.432074164971709251e-03
2.458410993142143823e+06,9.986321330070495605e-01,2.429063199087977409e-03
2.458410994531063363e+06,9.986925721168518066e-01,2.430701395496726036e-03
2.458410998697821051e+06,9.998062849044799805e-01,2.425312995910644531e-03
2.458411002864579204e+06,1.000841498374938965e+00,2.431128639727830887e-03
2.458411004253498279e+06,1.000991582870483398e+00,2.428256440907716751e-03
2.458411005642417818e+06,1.002482891082763672e+00,2.431967761367559433e-03
2.458411007031337358e+06,1.000972151756286621e+00,2.429057378321886063e-03
2.458411008420256432e+06,1.001327276229858398e+00,2.430221531540155411e-03
2.458411009809175972e+06,1.004205226898193359e+00,2.431934466585516930e-03
2.458411011198095046e+06,1.005656361579895020e+00,2.434091409668326378e-03
2.458411012587014586e+06,1.003581047058105469e+00,2.432391047477722168e-03
2.458411013975934125e+06,1.006171584129333496e+00,2.432536333799362183e-03
2.458411015364853200e+06,9.966470003128051758e-01,2.428013598546385765e-03
2.458411016753772739e+06,9.989129304885864258e-01,2.430695574730634689e-03
2.458411018142691813e+06,1.003066420555114746e+00,2.430826425552368164e-03
2.458411019531611353e+06,1.005896687507629395e+00,2.434581285342574120e-03
2.458411020920530893e+06,1.002707123756408691e+00,2.431527944281697273e-03
2.458411022309449967e+06,1.004793524742126465e+00,2.431911416351795197e-03
2.458411023698369507e+06,1.004928588867187500e+00,2.431824104860424995e-03
2.458411025087288581e+06,1.001036405563354492e+00,2.430342836305499077e-03
2.458411026476208121e+06,1.000604748725891113e+00,2.430065767839550972e-03
2.458411027865127660e+06,1.002515554428100586e+00,2.431935397908091545e-03
2.458411029254046734e+06,9.993675947189331055e-01,2.428759122267365456e-03
2.458411030642966274e+06,1.004445195198059082e+00,2.432329347357153893e-03
2.458411032031885814e+06,1.002315521240234375e+00,2.430411521345376968e-03
2.458411033420804888e+06,1.003759860992431641e+00,2.431550994515419006e-03
2.458411034809724428e+06,9.991793632507324219e-01,2.431291621178388596e-03
2.458411036198643502e+06,1.004132509231567383e+00,2.433735178783535957e-03
2.458411037587563042e+06,1.002948641777038574e+00,2.431893488392233849e-03
2.458411038976482581e+06,1.003390073776245117e+00,2.432483946904540062e-03
2.458411040365401655e+06,1.004231810569763184e+00,2.433136338368058205e-03
2.458411041754321195e+06,9.970479011535644531e-01,2.427097409963607788e-03
2.458411043143240735e+06,9.999150633811950684e-01,2.427727915346622467e-03
2.458411044532159809e+06,1.005879163742065430e+00,2.432885812595486641e-03
2.458411045921079349e+06,1.001769542694091797e+00,2.430340042337775230e-03
2.458411047309998889e+06,1.001793026924133301e+00,2.429060405120253563e-03
2.458411050087837502e+06,9.985200166702270508e-01,2.429324435070157051e-03
2.458411051476757042e+06,9.990956187248229980e-01,2.428469946607947350e-03
2.458411052865676116e+06,1.004208683967590332e+00,2.430154941976070404e-03
2.458411054254595656e+06,1.004037261009216309e+00,2.430716995149850845e-03
2.458411055643515196e+06,1.002540826797485352e+00,2.431228524073958397e-03
2.458411057032434270e+06,1.002372264862060547e+00,2.428882289677858353e-03
2.458411058421353810e+06,9.999465942382812500e-01,2.429433166980743408e-03
2.458411059810273349e+06,1.006501436233520508e+00,2.433395944535732269e-03
2.458411061199192889e+06,1.004023313522338867e+00,2.433237619698047638e-03
2.458411062588111963e+06,1.003560304641723633e+00,2.431753091514110565e-03
2.458411063977031503e+06,9.986165165901184082e-01,2.429562620818614960e-03
2.458411065365951043e+06,9.970224499702453613e-01,2.428075764328241348e-03
2.458411066754870117e+06,9.974924921989440918e-01,2.425916260108351707e-03
2.458411068143789656e+06,1.004106521606445312e+00,2.431162167340517044e-03
2.458411069532709196e+06,1.000515937805175781e+00,2.429335378110408783e-03
2.458411070921628270e+06,1.005275487899780273e+00,2.432438777759671211e-03
2.458411072310547810e+06,1.001693844795227051e+00,2.430764259770512581e-03
