#BJD_DRS,RVC_DRS,RV_err_DRS
2.454055846510150E+06,1.069406409565210E+01,3.862297998062120E-04
2.455111869678940E+06,1.065705892401750E+01,3.483943388554700E-04
2.455111875164920E+06,1.065739673461330E+01,3.207369632968300E-04
2.455115854597290E+06,1.065852556109170E+01,5.336189495335730E-04
2.455115860233730E+06,1.065832508897610E+01,5.566364524956840E-04
2.455123863628120E+06,1.065529786796830E+01,4.983031644691060E-04
2.455123867771530E+06,1.065491366770780E+01,5.308130069033260E-04
2.455123871625610E+06,1.065498382098090E+01,5.138608073414080E-04
2.455124858756570E+06,1.065930228019730E+01,4.457332851237940E-04
2.455124861904640E+06,1.065858935545840E+01,4.648537372650410E-04
2.455124865399950E+06,1.065777601819850E+01,5.037955341817210E-04
2.455126829361630E+06,1.065737486426730E+01,3.833330699059860E-04
2.455126833157840E+06,1.065730983348620E+01,3.719228622821870E-04
2.455126837011930E+06,1.065875174515070E+01,3.594316066799290E-04
2.455128858808720E+06,1.065778143665640E+01,3.636517171294450E-04
2.455128862720690E+06,1.065979938853450E+01,3.913455289096470E-04
2.455128866528470E+06,1.065939089518770E+01,4.019408913134790E-04
2.455129857826880E+06,1.065742452210500E+01,4.253990969390440E-04
2.455129861090700E+06,1.065821314376900E+01,4.506331160590940E-04
2.455129864296650E+06,1.065683471452480E+01,5.143982797745950E-04
2.455133834827850E+06,1.065745524475330E+01,5.511621968892760E-04
2.455133840614770E+06,1.065765908776110E+01,5.331397805875530E-04
2.455135813792780E+06,1.065615288455640E+01,2.810691070127970E-04
2.455135819325080E+06,1.065676134862780E+01,2.851156754624150E-04
2.455138831766440E+06,1.065905363028020E+01,3.532467735892980E-04
2.455138837067250E+06,1.065964679870900E+01,3.265834156848950E-04
2.455140804171380E+06,1.065861124698400E+01,3.988584326062190E-04
2.455140809587960E+06,1.065887500095600E+01,3.561635301362470E-04
2.455164659046490E+06,1.065774623501640E+01,5.416048568632150E-04
2.455164662321920E+06,1.065788596232230E+01,5.094007441522790E-04
2.455164665597340E+06,1.065848784573450E+01,4.895613544982130E-04
2.455166614396430E+06,1.065722066760650E+01,3.593409510793590E-04
2.455166617695000E+06,1.065548706955980E+01,3.682075590291170E-04
2.455166621016730E+06,1.065550891561660E+01,3.847433729129600E-04
2.455167633830800E+06,1.065586119352970E+01,4.630952587200590E-04
2.455167636446520E+06,1.065487829039810E+01,4.545552202345760E-04
2.455167639177970E+06,1.065665514345350E+01,4.650940408917220E-04
2.455167641816840E+06,1.065681970773370E+01,4.696505653899600E-04
2.455168657571100E+06,1.065565205292890E+01,3.864144838633750E-04
2.455168660244680E+06,1.065445435649430E+01,3.835367200147760E-04
2.455168662929850E+06,1.065540643370640E+01,3.794939617732440E-04
2.455168665615010E+06,1.065462168401260E+01,3.900355050732670E-04
2.455169662492520E+06,1.065803396116410E+01,4.741405120216590E-04
2.455169665177680E+06,1.065656972106400E+01,4.717978600646970E-04
2.455169667851270E+06,1.065827214766840E+01,4.850380452104340E-04
2.455169670490140E+06,1.065755851462100E+01,4.594449076779000E-04
2.455279486365220E+06,1.064589535502710E+01,4.914975369656910E-04
2.455279490450960E+06,1.064587678754380E+01,5.481914152645600E-04
2.455279494721900E+06,1.064489512995990E+01,5.031831678540570E-04
2.456619732436410E+06,1.078202932458240E+01,4.380772577963230E-04
2.456619735700250E+06,1.077998683310110E+01,4.238407708335480E-04
2.456619738906240E+06,1.078321153727710E+01,4.080424757020620E-04
2.456623715743870E+06,1.077918812788010E+01,5.902173679771880E-04
2.456623719354940E+06,1.078063525197720E+01,5.860499562222680E-04
2.456623723000740E+06,1.077880013534990E+01,5.547009710695250E-04
2.456625758093690E+06,1.078069217571830E+01,4.174357792136810E-04
2.456625763730200E+06,1.078019851041010E+01,4.368875612258440E-04
2.456628747762150E+06,1.077690045745180E+01,5.285551701839280E-04
2.456628753549130E+06,1.077752000771010E+01,5.584026290384000E-04
2.456632719636620E+06,1.077407225713210E+01,5.338172553402200E-04
2.456632724902770E+06,1.077475261116210E+01,4.225592886611690E-04
2.456700519958530E+06,1.075419319655400E+01,4.204921469188910E-04
2.456700525548900E+06,1.075476713301390E+01,4.285060855778260E-04
2.456721528656600E+06,1.074248497385730E+01,4.233182646543890E-04
2.456721534443770E+06,1.074286357890300E+01,4.531205442272750E-04
2.456723504916930E+06,1.074270419153040E+01,4.548533468579650E-04
2.456723510484190E+06,1.074348007663400E+01,4.695588873607430E-04
2.456725505287100E+06,1.074632121365340E+01,4.694221932358630E-04
2.456725510611310E+06,1.074575235270340E+01,7.803611681954040E-04
2.456990733558310E+06,1.068743547667880E+01,3.440645563441900E-04
2.456990739148530E+06,1.068791636634960E+01,3.551774942159020E-04
2.456994781734880E+06,1.068824247069290E+01,4.630853070906440E-04
2.456994787371410E+06,1.068925863364020E+01,4.571002519136450E-04
2.456998681180600E+06,1.068621788601280E+01,2.959128504574420E-04
2.457002780943620E+06,1.068814263195090E+01,3.051307200012650E-04
2.457033636139910E+06,1.068479146443560E+01,2.641240863091660E-04
